,Loneliness,Composite Warmth Index
1,2.6,0.1032257757
2,2.7,0.2661498118
3,2.55,-0.3722286576
4,2.75,0.4662753413
5,2.85,0.5038670635
6,2.35,0.4537381239
7,2.3,1.1547628203
8,2.25,0.2160009422
9,1.5,0.2160009422
10,1.55,-1.0356616319
11,1.9,0.17840922
12,2,-0.4223575972
13,1.75,0.491329846
14,1,0.491329846
15,3.1,-0.4599493194
16,2.7,-0.1846204155
17,2.25,-0.4474320321
18,2.6,0.5038670635
19,2.15,0.8418421942
20,1.8,0.2034836548
21,2.3,-0.1721031282
22,1.95,0.8167876895
23,3.25,0.1032257757
24,2.55,-0.1219741886
25,2.15,-1.0231244144
26,3,0.1909464374
27,2.05,-0.1595659108
28,1.4,-0.0968997538
29,2.5,-0.4724865368
30,1.85,-0.1219741886
31,1.9,0.1032257757
32,1.8,0.17840922
33,3.6,-0.4223575972
34,2.75,0.491329846
35,2.55,0.8543794116
36,3.15,0.1909464374
37,2.4,-0.760332728
38,2.2,-0.0968997538
39,2.45,-1.0231244144
40,2.75,-1.761740833
41,2.45,-0.1219741886
42,2.15,-0.1094369712
43,2.65,0.7666587499
44,2.55,-0.3722286576
45,1.9,-0.1094369712
46,1.75,-0.071845249
47,2.55,-0.4223575972
48,2.05,-0.1470286933
49,1.8,0.1032257757
50,2.3,1.1171710981
51,1.95,-0.071845249
52,2.25,0.1533547153
53,2,0.1909464374
54,1.75,0.5038670635
55,3.45,0.1533547153
56,1.15,1.1171710981
57,2.05,-0.1094369712
58,2.55,-0.4599493194
59,3.25,0.6777259932
60,3.5,-0.7728699454
61,2.5,-0.4223575972
62,2.8,0.1909464374
63,1.5,0.491329846
64,3.05,-0.1094369712
65,2.25,-0.1094369712
66,1.7,-0.1094369712
67,3.2,1.1171710981
68,2,0.17840922
69,2.75,-0.7352782233
70,1.85,0.8167876895
71,2.15,-0.7854071628
72,2.9,0.1909464374
73,1.9,0.5289215682
74,2.6,-1.0356616319
75,2,-0.4724865368
76,2.7,-0.1846204155
77,1.75,-0.7102037884
78,2.6,-0.7227410058
79,1.75,0.553996003
80,1.9,0.1909464374
81,1.6,0.17840922
82,2.85,-0.1094369712
83,2.8,0.491329846
84,1.8,-0.4599493194
85,1.8,0.1909464374
86,1.4,-0.9855326923
87,2.1,-0.4223575972
88,1.1,-0.4223575972
89,2.7,-0.0843824665
90,2.8947368421,0.2034836548
91,2.65,0.241075377
92,2.3,-0.5100782589
93,2.65,1.1171710981
94,1.7,0.1909464374
95,1.3,-0.4724865368
96,2.55,-2.0370697368
97,2.05,0.241075377
98,1.85,0.1909464374
99,1.85,0.8418421942
100,2.05,-0.8104616675
101,2.05,0.4662753413
102,1.55,0.2285381596
103,2.35,-0.1219741886
104,1.7,-1.073253354
105,3,0.8042504721
106,1.25,1.1046338807
107,2.05,1.1171710981
108,2.9,0.7917132547
109,2.3684210526,-1.0481988493
110,2.5,1.1171710981
111,1.95,0.1157629931
112,3,0.4161464017
113,3.7,0.1408174979
114,2.45,0.2285381596
115,2.45,-0.7728699454
116,1,0.1909464374
117,2.4,0.1909464374
118,2.25,0.4537381239
119,1.4,0.5289215682
120,1.7,0.1909464374
121,2,-0.7728699454
122,2.6842105263,0.1909464374
123,1.15,-0.4223575972
124,2.6,0.2034836548
125,1.6,0.491329846
126,1.15,-1.4363029196
127,2.5,0.17840922
128,2.9,0.491329846
129,1,-0.7352782233
130,2.2,0.5038670635
131,1.9,0.491329846
132,2.8,0.1909464374
133,1.95,0.1909464374
134,2.05,-0.1219741886
135,2.05,-0.4724865368
136,2.55,0.491329846
137,3.65,1.1046338807
138,1.45,-0.1595659108
139,2.1,-0.1094369712
140,1.85,-0.1470286933
141,2.65,0.5038670635
142,2.1,0.1909464374
143,2.2,-0.5100782589
144,2.4736842105,-0.1971576329
145,2.3,0.17840922
146,1.35,0.8418421942
147,1.2,0.1408174979
148,2.05,-0.1219741886
149,1.8,0.8042504721
150,2.45,-0.8480533897
151,2.6,-1.4613574243
152,3.4,-0.4223575972
153,2.1,0.1909464374
154,2.85,0.2034836548
155,2.55,-0.4975410415
156,3.3,-0.1595659108
157,3.2,-0.1094369712
158,2.3,-0.1470286933
159,2.15,0.17840922
160,2.9,0.2034836548
161,2.5,0.17840922
162,2.3,0.1408174979
163,3,0.8042504721
164,2.1,-0.1219741886
165,3.2,-0.1219741886
166,2,-0.1219741886
167,1.25,-0.7352782233
168,2.05,-0.1470286933
169,2.15,1.1046338807
170,2.65,-0.8104616675
171,2.6,-0.1721031282
172,1,-0.760332728
173,3.15,-2.7005027111
174,2.4,0.5414587856
175,2.6,-0.1595659108
176,3.35,1.1171710981
177,2.6111111111,0.491329846
178,1.55,0.241075377
179,2.55,0.241075377
180,3.2,-0.822998885
181,1.75,-0.4223575972
182,3.55,0.8042504721
183,1.85,0.8418421942
184,2.2,-0.1721031282
185,2.6,0.1533547153
186,2.05,0.8042504721
187,3.45,0.17840922
188,2.05,0.4412009065
189,3.15,0.2034836548
190,1.55,-0.5100782589
191,2.4,-0.8480533897
192,2.55,-0.3596914402
193,2.6,0.241075377
194,2.25,0.1408174979
195,2.9,0.17840922
196,3.5263157895,-0.4098203798
197,2,0.491329846
198,1.75,0.1909464374
199,1.95,0.491329846
200,1.35,-1.7742780504
201,1.4,0.5038670635
202,2.25,0.17840922
203,2.6842105263,-0.4098203798
204,2.25,-1.8244069899
205,1.15,0.1909464374
206,2.7,0.241075377
207,2.15,0.1909464374
208,3.3,-0.0843824665
209,2.5,0.7666587499
210,1.65,-0.1219741886
211,2.2,-0.1470286933
212,2.2,-0.1219741886
213,1.6,-0.3847658751
214,2.25,-0.1219741886
215,1.3,-0.0968997538
216,2.1,-0.1219741886
217,3.2,1.1673000377
218,1.5,-0.8104616675
219,2.1,-0.4724865368
220,2.4,-0.4724865368
221,1.95,1.1171710981
222,2.75,-0.1595659108
223,2.05,0.8042504721
224,2.85,-0.5226154764
225,3,0.491329846
226,1.45,0.5038670635
227,1.35,-0.1219741886
228,1.9,0.1909464374
229,3.4,0.9295628559
230,2.8,0.1909464374
231,2.7,0.2285381596
232,1.85,0.8418421942
233,2.55,0.491329846
234,2.9,-0.1219741886
235,2.15,-0.4223575972
236,2.3,0.17840922
237,3.35,-0.1094369712
238,2.6,-0.4724865368
239,2,1.1171710981
240,1.9,1.4175545067
241,2.25,0.5038670635
242,2.75,0.8042504721
243,2.45,-1.1108450762
244,2.2,-0.4223575972
245,2.95,0.491329846
246,1.8,-0.1595659108
247,3,0.17840922
248,3.05,0.17840922
249,3.1,0.491329846
250,1.95,0.4662753413
251,2.4,-0.5100782589
252,2.1,0.241075377
253,2.1,-1.4363029196
254,2.25,0.5414587856
255,3.1,-0.1094369712
256,2.9,-1.3736367626
257,1.95,-0.7728699454
258,2.05,1.1171710981
259,2.15,0.1909464374
260,2.95,0.5038670635
261,1.9,0.491329846
262,2.4,0.5790505078
263,1.4,-0.8104616675
264,2.55,-0.1595659108
265,1.9,0.5038670635
266,3.55,-0.1219741886
267,2.75,-0.4724865368
268,2.25,-0.1470286933
269,1.95,0.1909464374
270,2.35,-0.4223575972
271,2.1,1.1171710981
272,2.45,0.8042504721
273,2.65,0.1909464374
274,2,0.2034836548
275,1.3684210526,-0.1094369712
276,2.5,0.8167876895
277,2.4,0.8669166291
278,3.15,-1.0857905714
279,1.75,-1.4363029196
280,1.6,0.5038670635
281,2.1,-0.1219741886
282,2.4,-0.1219741886
283,2.6,-0.1971576329
284,3.25,0.1408174979
285,1.9,-0.1094369712
286,2.1,-0.1219741886
287,1.35,0.8543794116
288,2.15,-1.4112284848
289,1.9,0.1909464374
290,1.8,-0.1595659108
291,1.9,-0.1094369712
292,2.75,-0.2096948503
293,1.95,-0.7728699454
294,2.95,0.1909464374
295,2,0.17840922
296,1.2,0.491329846
297,2.05,0.5038670635
298,1.55,0.1909464374
299,1.35,0.4537381239
300,3.1,0.8042504721
301,2.4,0.491329846
302,1.55,0.491329846
303,1.75,-0.1094369712
304,2.95,-0.1219741886
305,2.9,-1.1735112332
306,2.1,-0.1721031282
307,1.9,-0.7854071628
308,1.8,-0.4348948146
309,2.65,0.1408174979
310,2,-0.071845249
311,1.3,-0.4098203798
312,1.9,0.17840922
313,1.6,-1.073253354
314,2.7,0.5038670635
315,2.7,-0.4223575972
316,2.9,-0.4724865368
317,2.6,-0.4975410415
318,2.4,1.1547628203
319,1.65,-0.7352782233
320,2,-0.1219741886
321,2.25,-0.1094369712
322,3.75,-0.4599493194
323,1.6,-0.7854071628
324,2.25,0.1909464374
325,1.9,-0.1971576329
326,1.65,0.4161464017
327,3.05,0.2034836548
328,1.7,1.4175545067
329,1.4,0.491329846
330,1,0.5414587856
331,2.3,0.1408174979
332,3.45,-0.760332728
333,2.4,0.491329846
334,2.3,0.1909464374
335,3.05,0.1408174979
336,2.65,1.1171710981
337,2.9,-0.134511406
338,2.35,0.8418421942
339,3.35,-0.5602071985
340,2.5,-1.073253354
341,1.8,-0.7728699454
342,2.75,0.1909464374
343,3.15,-0.1721031282
344,2.45,0.8042504721
345,2.7,-0.4098203798
346,2.3,-0.4223575972
347,2.55,0.7917132547
348,2.15,-0.7102037884
349,2.3,0.8167876895
350,2.15,0.1909464374
351,1.6,0.2034836548
352,1.3,0.1909464374
353,2.3,-0.1094369712
354,2.1,0.1909464374
355,2.4,0.1909464374
356,2.55,0.4787926286
357,2.7,0.5038670635
358,3.25,-0.1219741886
359,1.4,0.5038670635
360,2.25,0.7666587499
361,3.15,-0.1595659108
362,2.2,0.1533547153
363,2.7,0.1909464374
364,2.65,0.1408174979
365,2.75,0.1909464374
366,2,0.8042504721
367,2.95,0.7666587499
368,1.95,0.1909464374
369,1.45,-1.4363029196
370,1.15,0.17840922
371,2.65,0.491329846
372,2.65,-0.4223575972
373,2.2,0.5038670635
374,2.9,0.491329846
375,2.4,0.1909464374
376,2.05,-0.7352782233
377,2.9,0.1909464374
378,2.1,0.1408174979
379,3.25,0.015505114
380,2.05,0.17840922
381,2.35,-0.1595659108
382,1.65,0.491329846
383,1.5,-0.1219741886
384,1.3,0.491329846
385,1.45,-0.4223575972
386,2.25,0.8042504721
387,2.7,-0.7227410058
388,2,0.4537381239
389,2.8,0.491329846
390,1.5789473684,0.5038670635
391,2.45,-0.4098203798
392,1.9,-0.2096948503
393,2.9,-0.1971576329
394,2.25,-0.7227410058
395,3.15,-0.7352782233
396,1.7,-0.1219741886
397,2.05,0.17840922
398,1.55,0.7666587499
399,2.65,-0.4599493194
400,1.55,-0.1094369712
401,1.85,-0.1971576329
402,3.1,-0.1094369712
403,2.45,-0.1971576329
404,1.65,-1.4363029196
405,2,0.1909464374
406,2.65,0.8042504721
407,1,0.1909464374
408,2.85,0.1157629931
409,2,-1.073253354
410,2.3,-0.0968997538
411,3.1,-0.7227410058
412,3.4,-0.1094369712
413,1.85,0.5038670635
414,2.55,0.491329846
415,3.15,-0.2096948503
416,1.6,0.1032257757
417,2.3,-0.7102037884
418,2.45,1.1673000377
419,1.8,-0.071845249
420,2.5789473684,-0.2719707785
421,3.2,-0.4975410415
422,2.25,-1.4488202069
423,2.65,0.2034836548
424,2.05,-0.1595659108
425,2.4,0.1533547153
426,1.7,-1.0356616319
427,2.2,-0.4223575972
428,2.55,-0.7352782233
429,2.3,0.7917132547
430,2.25,-0.4599493194
431,2.9,0.1909464374
432,2.9,-0.1470286933
433,2.55,-0.8605906071
434,1.5,0.491329846
435,1,0.8042504721
436,2.85,-0.1971576329
437,1.15,0.241075377
438,1.95,-0.1094369712
439,2.2,-0.4975410415
440,1.9,-0.4724865368
441,1.95,-1.4237657022
442,2.4,-0.7352582931
443,2.2,-0.4098203798
444,2.8,0.1157629931
445,1.5,0.7666587499
446,1.3,-0.4223575972
447,1.8,0.8167876895
448,2.7,-0.4348948146
449,2.2,-0.1808140705
450,2.35,0.5289215682
451,2.4,-0.071845249
452,2.35,0.1909464374
453,2.8,0.1909464374
454,2.85,-1.0607161366
455,1.95,0.8042504721
456,2.1,-0.7728699454
457,2.45,-0.4223575972
458,2.6,-0.1971576329
459,1.35,-1.0231244144
460,1.3,-0.3722286576
461,2.95,1.1171710981
462,2.15,-0.1595659108
463,2.8,0.2034836548
464,2.3,-0.4098203798
465,1.65,-0.1219741886
466,1.3,-0.1219741886
467,2,0.2285381596
468,2.55,0.1909464374
469,2.7,0.491329846
470,3,-1.073253354
471,1.9473684211,0.5038670635
472,3.05,-0.4724865368
473,2.4,0.5038670635
474,3.15,0.7917132547
475,2.9,-0.4223575972
476,3.15,-0.4348948146
477,2.7,-0.2472865725
478,3.35,-0.8981823293
479,1.65,-0.4348948146
480,1.35,-0.5226154764
